Name;Price;Link;Image;Availability;Source
Gel de dus pentru corp si par Mediket Versi, 200 ml, Benemedo;77,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/corp/anti-fungic/gel-de-dus-pentru-corp-si-par-mediket-versi-200-ml-benemedo-p311235;https://media.farmaciatei.ro/gallery/15123/gel-de-dus-pentru-corp-si-par-mediket-versi-200-ml-benemedo-3564.jpg;true;Farmacia Tei
Sampon dermatologic antimatreata si iritatii Mediket Plus, 100...;63,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-dermatologic-antimatreata-si-iritatii-mediket-plus-100-ml-benemedo-p318093;https://media.farmaciatei.ro/gallery/14881/sampon-dermatologic-anti-matreata-si-iritatii-mediket-plus-100-ml-benemedo-2027.jpg;true;Farmacia Tei
Sampon normalizant antimatreata S Cystiphane, 200 ml, Biorga;66,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-normalizant-antimatreata-s-cystiphane-200-ml-biorga-p325242;https://media.farmaciatei.ro/gallery/9398/sampon-normalizant-antimatreata-cystiphane-s-200-ml-biorga-6406.png;true;Farmacia Tei
Sampon eco antimatreata natural, 500 ml, Gamarde;78,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-eco-antimatreata-natural-500-ml-gamarde-p325661;https://media.farmaciatei.ro/gallery/60180/sampon-eco-antimatreata-natural-500-ml-gamarde-3265.jpg;true;Farmacia Tei
Sampon reechilibrant cu apa termala DS, 200 ml, Uriage;48,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-reechilibrant-cu-apa-termala-ds-200-ml-uriage-p340156;https://media.farmaciatei.ro/gallery/35479/sampon-reechilibrant-impotriva-matretii-ds-200-ml-uriage-3224.jpg;true;Farmacia Tei
Sampon antimatreata Novophane DS, 300 ml, Acm;103,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-antimatreata-novophane-ds-300-ml-acm-p341712;https://media.farmaciatei.ro/gallery/15885/sampon-antimatreata-novophane-ds-300-ml-acm-1173.png;true;Farmacia Tei
Sampon antimatreata Hair Care, 1000 ml, Sebamed;124,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-antimatreata-hair-care-1000-ml-sebamed-p358844;https://media.farmaciatei.ro/gallery/41586/sampon-dermatologic-antimatreata-1000-ml-sebamed-3002.png;true;Farmacia Tei
Sampon natural pentru par gras, 1000 ml, Sabio;71,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-natural-pentru-par-gras-1000-ml-sabio-p330461;https://media.farmaciatei.ro/gallery/25500/sampon-natural-pentru-par-gras-1000-ml-sabio-4678.webp;true;Farmacia Tei
Sampon purificator pentru par gras Natural Care, 400 ml, Gerocossen;18,50 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-purificator-pentru-par-gras-natural-care-400-ml-gerocossen-p356070;https://media.farmaciatei.ro/gallery/32558/sampon-prificator-pentru-par-gras-400-ml-gerocossen-6996.jpg;true;Farmacia Tei
Sampon sebum control Tratament Expert, 250 ml, Gerovital;18,50 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-sebum-control-tratament-expert-250-ml-gerovital-p326225;https://media.farmaciatei.ro/gallery/8822/sampon-sebum-control-gerovital-tratamentexpert-250-ml-farmec-8483.png;true;Farmacia Tei
Fiole intensiv antimatreata Tratament Expert, 10 fiole x 10...;52,50 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/antimatreata/fiole-intensiv-antimatreata-tratament-expert-10-fiole-x-10-ml-gerovital-p338084;https://media.farmaciatei.ro/gallery/13551/fiole-intensiv-antimatreata-gerovital-tratament-expert-10-fiole-x-10-ml-farmec-1069.png;true;Farmacia Tei
Sampon tratament dermatocosmetic anti-matreata severa Kelual...;67,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-tratament-dermatocosmetic-anti-matreata-severa-kelual-ds-100-ml-ducray-p302469;https://media.farmaciatei.ro/gallery/7397/sampon-tratament-dermatocosmetic-anti-matreata-severa-kelual-ds-100-ml-ducray-7078.jpg;true;Farmacia Tei
Sampon anti-matreata pentru par uscat Dercos, 390 ml, Vichy;87,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-anti-matreata-pentru-par-uscat-dercos-390-ml-vichy-p345044;https://media.farmaciatei.ro/gallery/78542/sampon-anti-matreata-pentru-par-normal-uscat-dercos-400-ml-vichy-9747.jpg;true;Farmacia Tei
Sampon dermatologic antimatreata si iritatii Mediket Plus, 100...;63,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-dermatologic-antimatreata-si-iritatii-mediket-plus-100-ml-benemedo-p318093;https://media.farmaciatei.ro/gallery/14881/sampon-dermatologic-anti-matreata-si-iritatii-mediket-plus-100-ml-benemedo-2027.jpg;true;Farmacia Tei
Sampon normalizant antimatreata S Cystiphane, 200 ml, Biorga;66,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-normalizant-antimatreata-s-cystiphane-200-ml-biorga-p325242;https://media.farmaciatei.ro/gallery/9398/sampon-normalizant-antimatreata-cystiphane-s-200-ml-biorga-6406.png;true;Farmacia Tei
Sampon eco antimatreata natural, 500 ml, Gamarde;78,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-eco-antimatreata-natural-500-ml-gamarde-p325661;https://media.farmaciatei.ro/gallery/60180/sampon-eco-antimatreata-natural-500-ml-gamarde-3265.jpg;true;Farmacia Tei
Sampon reechilibrant cu apa termala DS, 200 ml, Uriage;48,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-reechilibrant-cu-apa-termala-ds-200-ml-uriage-p340156;https://media.farmaciatei.ro/gallery/35479/sampon-reechilibrant-impotriva-matretii-ds-200-ml-uriage-3224.jpg;true;Farmacia Tei
Sampon antimatreata Novophane DS, 300 ml, Acm;103,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-antimatreata-novophane-ds-300-ml-acm-p341712;https://media.farmaciatei.ro/gallery/15885/sampon-antimatreata-novophane-ds-300-ml-acm-1173.png;true;Farmacia Tei
Sampon antimatreata Hair Care, 1000 ml, Sebamed;124,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-antimatreata-hair-care-1000-ml-sebamed-p358844;https://media.farmaciatei.ro/gallery/41586/sampon-dermatologic-antimatreata-1000-ml-sebamed-3002.png;true;Farmacia Tei
Sampon natural pentru par gras, 1000 ml, Sabio;71,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-natural-pentru-par-gras-1000-ml-sabio-p330461;https://media.farmaciatei.ro/gallery/25500/sampon-natural-pentru-par-gras-1000-ml-sabio-4678.webp;true;Farmacia Tei
Sampon purificator pentru par gras Natural Care, 400 ml, Gerocossen;18,50 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-purificator-pentru-par-gras-natural-care-400-ml-gerocossen-p356070;https://media.farmaciatei.ro/gallery/32558/sampon-prificator-pentru-par-gras-400-ml-gerocossen-6996.jpg;true;Farmacia Tei
Sampon sebum control Tratament Expert, 250 ml, Gerovital;18,50 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-sebum-control-tratament-expert-250-ml-gerovital-p326225;https://media.farmaciatei.ro/gallery/8822/sampon-sebum-control-gerovital-tratamentexpert-250-ml-farmec-8483.png;true;Farmacia Tei
Fiole intensiv antimatreata Tratament Expert, 10 fiole x 10...;52,50 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/antimatreata/fiole-intensiv-antimatreata-tratament-expert-10-fiole-x-10-ml-gerovital-p338084;https://media.farmaciatei.ro/gallery/13551/fiole-intensiv-antimatreata-gerovital-tratament-expert-10-fiole-x-10-ml-farmec-1069.png;true;Farmacia Tei
Sampon tratament antimatreata DS, 200 ml, Uriage;66,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-tratament-antimatreata-ds-200-ml-uriage-p340157;https://media.farmaciatei.ro/gallery/39759/sampon-tratament-antimatreata-ds-200-ml-uriage-4389.jpg;true;Farmacia Tei
Sampon cu cafeina pentru par gras Recapil Forte, 400 ml, Gerocossen;23,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-cu-cafeina-pentru-par-gras-recapil-forte-400-ml-gerocossen-p359988;https://media.farmaciatei.ro/gallery/46103/sampon-cu-cafeina-pentru-par-gras-recapil-forte-400-ml-gerocossen-4398.jpg;true;Farmacia Tei
